epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1480.42,1.06955,0.73607,1.08617,0.6786,0.80069,0.79739,0.52112,1.2693,0.74673,1.20335,0.000742625,0.000742625,0.000742625
43,1510,1.06334,0.73155,1.08101,0.66297,0.83502,0.76718,0.51001,1.23311,0.73464,1.17622,0.00073025,0.00073025,0.00073025
44,1534.57,1.05728,0.72315,1.08416,0.6838,0.76446,0.78447,0.50324,1.29142,0.72785,1.21472,0.000717875,0.000717875,0.000717875
45,1562.07,1.04896,0.73121,1.06927,0.74107,0.72392,0.77064,0.50932,1.25009,0.7453,1.18724,0.0007055,0.0007055,0.0007055
46,1610.98,1.05688,0.72348,1.07722,0.71741,0.7681,0.78417,0.48105,1.27427,0.72461,1.20464,0.000693125,0.000693125,0.000693125
47,1635.7,1.03556,0.70644,1.07072,0.64942,0.86043,0.75073,0.44678,1.30935,0.73525,1.22624,0.00068075,0.00068075,0.00068075
48,1660.45,1.06681,0.71252,1.08023,0.57298,0.79833,0.72792,0.45102,1.30357,0.72054,1.22042,0.000668375,0.000668375,0.000668375
49,1691.25,1.04834,0.70453,1.07912,0.65299,0.76033,0.72612,0.45307,1.27466,0.72619,1.20683,0.000656,0.000656,0.000656
50,1717.87,1.03529,0.7041,1.06826,0.64805,0.80938,0.7423,0.47754,1.25922,0.70959,1.19314,0.000643625,0.000643625,0.000643625
51,1742.13,1.02911,0.69072,1.06695,0.71087,0.7943,0.76392,0.47618,1.27335,0.71554,1.21637,0.00063125,0.00063125,0.00063125
52,1766.64,1.02853,0.7004,1.07313,0.66028,0.81042,0.76458,0.47341,1.27133,0.71324,1.22285,0.000618875,0.000618875,0.000618875
53,1790.51,1.03893,0.70966,1.07979,0.69248,0.78535,0.75374,0.48511,1.25326,0.70912,1.18904,0.0006065,0.0006065,0.0006065
54,1814.71,1.03259,0.69218,1.07467,0.70072,0.78018,0.76458,0.49157,1.26368,0.72232,1.1908,0.000594125,0.000594125,0.000594125
55,1840.09,1.02478,0.68122,1.06262,0.68544,0.79543,0.73209,0.47539,1.22873,0.71099,1.17606,0.00058175,0.00058175,0.00058175
56,1865.72,1.00944,0.68238,1.06199,0.6577,0.80511,0.75461,0.49192,1.22509,0.70556,1.1704,0.000569375,0.000569375,0.000569375
57,1890.68,1.0098,0.67431,1.05098,0.69927,0.74179,0.76617,0.49866,1.23695,0.69884,1.17834,0.000557,0.000557,0.000557
58,1916.88,1.00559,0.67463,1.07027,0.6301,0.86897,0.73865,0.48123,1.22972,0.71285,1.18645,0.000544625,0.000544625,0.000544625
59,1941.77,0.99994,0.67562,1.0596,0.61246,0.83415,0.72848,0.47326,1.23347,0.72341,1.19495,0.00053225,0.00053225,0.00053225
60,1950.18,1.01214,0.66122,1.05424,0.71322,0.73383,0.76316,0.49117,1.25335,0.70592,1.18514,0.000519875,0.000519875,0.000519875
61,1958.36,1.00932,0.6662,1.0601,0.65992,0.79861,0.75905,0.48535,1.28088,0.71683,1.19962,0.0005075,0.0005075,0.0005075
62,1970.06,1.00797,0.6536,1.0526,0.68941,0.77575,0.7371,0.46696,1.28416,0.72674,1.20338,0.000495125,0.000495125,0.000495125
63,1982.4,0.97204,0.65293,1.04319,0.58695,0.82611,0.73582,0.47976,1.27652,0.71161,1.20075,0.00048275,0.00048275,0.00048275
64,1993.77,0.96087,0.6518,1.04277,0.64464,0.81103,0.74226,0.47063,1.27083,0.73656,1.21115,0.000470375,0.000470375,0.000470375
65,2005.03,0.97211,0.63765,1.04099,0.64329,0.80363,0.73604,0.48471,1.24941,0.71393,1.1982,0.000458,0.000458,0.000458
66,2016.96,0.99237,0.63618,1.04649,0.6978,0.79593,0.78267,0.51326,1.24604,0.69793,1.18613,0.000445625,0.000445625,0.000445625
67,2029.19,0.9958,0.66084,1.0523,0.67429,0.77586,0.75906,0.47833,1.30941,0.72684,1.21509,0.00043325,0.00043325,0.00043325
68,2041.63,0.99149,0.64741,1.04023,0.66707,0.79817,0.74615,0.48086,1.27656,0.7335,1.21376,0.000420875,0.000420875,0.000420875
69,2053.81,0.97999,0.6479,1.04423,0.61997,0.84005,0.73347,0.47496,1.24184,0.71383,1.1865,0.0004085,0.0004085,0.0004085
70,2065.79,0.96767,0.64793,1.03823,0.69068,0.7739,0.75908,0.49784,1.2509,0.69515,1.19385,0.000396125,0.000396125,0.000396125
71,2078.61,0.96687,0.63473,1.0446,0.69665,0.79343,0.7563,0.49695,1.24299,0.70738,1.201,0.00038375,0.00038375,0.00038375
72,2091.42,0.94072,0.61887,1.02886,0.71049,0.76667,0.73971,0.47507,1.25124,0.69928,1.19806,0.000371375,0.000371375,0.000371375
73,2105.07,0.97695,0.63293,1.03627,0.67025,0.78829,0.74323,0.47472,1.30429,0.75131,1.21778,0.000359,0.000359,0.000359
74,2135.81,0.95758,0.62531,1.02949,0.71154,0.78095,0.76353,0.49689,1.2403,0.71454,1.17828,0.000346625,0.000346625,0.000346625
75,2167.84,0.95412,0.62161,1.03466,0.66399,0.78794,0.76078,0.50731,1.24374,0.71392,1.18857,0.00033425,0.00033425,0.00033425
76,2187.84,0.94271,0.61865,1.02566,0.65125,0.82838,0.73502,0.4779,1.23822,0.70211,1.18152,0.000321875,0.000321875,0.000321875
